,country,volume,cases,deaths,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
1256,England,568,1211,26182,0,0.05032158621234537,0.05786678368691382,-0.05360564616952337,0.2057327841903869
1257,Scotland,131,47,1201,0,0.010492947912302748,0.04943089566232827,-0.08290155997765673,0.10079458176232371
1258,Northern Ireland,13,0,592,0,-0.30952380952380953,0.08804803992303989,-0.4082464285714286,-0.30952380952380953
1259,Wales,68,0,705,0,0.039148351648351634,0.11970810571782836,-0.05008722527472525,0.2122252747252747
1260,England,517,1118,26709,0,0.041171728492202145,0.0843182172192276,0.07312937015498083,0.07907083049367235
1261,Scotland,98,58,1155,0,0.18213283911039874,0.04655755554686199,-0.03303450247946302,0.35966239230615105
1262,Northern Ireland,12,0,669,0,0.15555555555555556,0.16286031194885361,0.2290411111111111,0.26666666666666666
1263,Wales,64,0,546,0,-0.1766666666666667,0.08396774215367962,0.03955233333333334,0.22333333333333333
1264,England,493,1006,21089,0,0.08995849101480378,0.05666816414419578,0.08736926843466791,0.2805274820429053
1265,Scotland,77,44,994,0,-0.09867172675521822,0.06745135468111432,0.03768857685009488,0.09829222011385198
1266,Northern Ireland,6,0,455,0,-0.16666666666666666,-0.078125,0.026858333333333328,0.5
1267,Wales,55,0,737,0,0.14705882352941177,0.04347387013517527,0.14630551470588238,0.012254901960784312
1268,England,534,989,19054,0,0.07147401818700057,0.07279495103019697,0.08342808470612327,0.20727191595183161
1269,Scotland,99,47,1003,0,-0.1268638434239102,0.0003011431543381721,-0.030935052008845804,-0.049002860320991576
1270,Northern Ireland,8,0,426,0,-0.3,0.1185949337121212,-0.05471833333333331,0.3
1271,Wales,66,0,605,0,0.12832633053221287,0.03662634109830798,0.08753244047619045,0.37202380952380953
1272,England,551,995,16815,0,0.12821509912419005,0.05662876148484253,0.042223851980538164,0.250786143061333
1273,Scotland,75,43,848,0,0.06825698021143942,0.0225307295857411,0.05268836300111442,0.04112526731122556
1274,Northern Ireland,12,0,314,0,0.0,0.0375564298741382,0.07178333333333335,0.05555555555555555
1275,Wales,59,0,630,0,0.23142857142857146,0.11953979737854735,0.12569882142857142,0.06857142857142856
1276,England,611,953,15021,0,-0.003776267279644706,0.04466580238419627,-0.047204972790512015,0.15176874560845852
1277,Scotland,131,42,758,0,-0.11480562448304385,0.017747116935777723,-0.03410758590871493,0.07461463267914882
1278,Northern Ireland,18,0,447,0,-0.17301587301587307,0.047892573696145115,-0.22713190476190478,-0.30952380952380953
1279,Wales,68,0,614,0,0.17463235294117646,0.1009058165125618,0.1403901348039216,0.18933823529411767
1280,England,558,988,17265,0,0.08744907765310743,0.06042175649830273,0.01470877082080057,0.05211781271055569
1281,Scotland,120,48,978,0,-0.032191789306773695,0.023572282619105364,-0.022724169237153754,0.00845287646796492
1282,Northern Ireland,6,0,504,0,-0.3333333333333333,-0.029459582807239065,-0.17058333333333334,0.5
1283,Wales,64,0,455,0,0.076890756302521,0.09795717196219288,0.1512702030812325,0.09789915966386555
1284,England,487,857,18529,0,0.11043864831128142,0.0987816081275429,0.016691542556914827,0.04645163452963685
1285,Scotland,94,32,1149,0,0.005735430157261795,0.028845263378049255,0.05199127749097312,0.08953776371937573
1286,Northern Ireland,5,0,412,0,-0.03333333333333333,0.029166666666666664,-0.002983333333333333,0.03333333333333333
1287,Wales,59,0,544,0,-0.0882075471698113,0.061844264371780096,-0.0050002358490566085,-0.17405660377358492
1288,England,460,887,17314,0,-0.04025185765781378,0.07117386858155801,0.025743010493044772,0.10277231926526596
1289,Scotland,71,44,895,0,0.06408972932888393,0.03632985111375534,0.013905826844642189,0.2010938079347423
1290,Northern Ireland,3,0,506,0,-0.3333333333333333,0.04027777777777778,0.04481666666666667,0.0
1291,Wales,66,0,399,0,0.4028846153846154,0.2091470994283494,0.1037523076923077,0.1673076923076923
1292,England,360,790,16302,0,-0.04448118306813959,0.14490281223945117,0.016121588254466215,0.12084220895485717
1293,Scotland,74,51,895,0,-0.009470636889991724,0.05173068718356016,0.06605659687758478,-0.1373345740281224
1294,Northern Ireland,4,0,390,0,-0.11111111111111112,0.06845238095238095,0.0016500000000000032,0.11111111111111112
1295,Wales,63,0,675,0,-0.18504901960784315,0.05896812014210144,0.227375306372549,0.2818627450980392
1296,England,453,804,14466,0,0.004121537878869251,0.10309531095748733,0.012224892357764406,0.19877744567260694
1297,Scotland,70,42,584,0,0.02395504891260409,0.03795829619823676,0.0009022334869431575,0.07073166787937585
1298,Northern Ireland,4,0,334,0,0.16666666666666666,0.0582638888888889,0.019316666666666666,0.16666666666666666
1299,Wales,55,0,461,0,-0.385,0.09818232435966807,0.179362,0.385
1300,England,381,833,12270,0,0.09805610759894648,0.09612679583446182,0.04919714715213388,0.167163517074003
1301,Scotland,81,41,928,0,0.19576965715179584,0.04021588170579722,-0.04722800371345208,0.09690477647874966
1302,Northern Ireland,5,0,296,0,-0.16666666666666666,0.09444444444444444,0.19976666666666668,0.5
1303,Wales,61,0,610,0,-0.2275,0.003225106534090888,-0.08923112499999998,-0.0925
1304,England,461,773,10916,0,-0.009868975092178999,0.017108125424128106,-0.02871853219470989,0.19894817691027875
1305,Scotland,77,48,822,0,0.07875091385527819,0.03666736249655523,0.011009283291029022,0.08912409538595496
1306,Northern Ireland,9,0,275,0,-0.027777777777777773,0.04208333333333331,0.2895513888888888,0.6666666666666666
1307,Wales,62,0,351,0,0.265,0.024777905844155842,-0.01984783333333335,0.12
1308,England,533,765,11551,0,0.11239978276376411,0.05636675239302063,-0.017822041240084793,0.29291799635350174
1309,Scotland,91,37,803,0,0.0325426944971537,0.06975712825086046,0.056860499683744486,0.24554079696394682
1310,Northern Ireland,9,0,336,0,0.75,0.061787142255892234,-0.09202499999999998,-0.08333333333333333
1311,Wales,59,0,323,0,0.0673469387755102,0.13374538087691784,0.19153849489795924,0.5030612244897958
1312,England,529,734,12001,0,0.06709206297424,0.07243237227395195,0.060730400225040775,0.20616238625808003
1313,Scotland,71,34,830,0,-0.03870967741935485,0.055927187811645275,-0.04380858651026393,-0.0161485826001955
1314,Northern Ireland,10,0,253,0,0.25555555555555554,0.053907527657527654,0.040436666666666655,0.5555555555555555
1315,Wales,63,0,410,0,0.5925,0.24414862914862911,0.209144375,0.21749999999999997
1316,England,501,673,13299,0,0.0609487660263488,0.11530195531416985,0.1223680849664058,0.17069077749829256
1317,Scotland,95,41,830,0,0.014434424741269746,0.029820581086636346,0.01761411845104803,0.043348665496580514
1318,Northern Ireland,7,0,407,0,-0.1111111111111111,0.050525793650793634,-0.06026944444444445,0.1111111111111111
1319,Wales,68,0,608,0,0.026102941176470593,0.053819532353539645,-0.025533069852941175,0.10061274509803922
1320,England,463,653,11697,0,0.09535127481887055,0.082455171071766,0.03924489869695886,0.2118443083513957
1321,Scotland,74,32,908,0,0.1825294418842806,0.03822562651513303,0.0019566451612903152,0.21894521249359955
1322,Northern Ireland,6,0,303,0,0.11111111111111112,-0.03444940476190475,-0.1534,0.2222222222222222
1323,Wales,64,0,400,0,-0.3799019607843137,0.06882346613677033,-0.08629601715686276,0.09313725490196079
1324,England,447,670,9499,0,0.054002835299626746,0.04210763731814385,-0.0026854930760772996,0.26801529671850527
1325,Scotland,74,33,903,0,-0.14982078853046596,0.09195645760385902,0.11488323775388293,0.2731182795698925
1326,Northern Ireland,6,0,176,0,0.0,0.13742845117845118,0.13139444444444445,0.5555555555555556
1327,Wales,58,0,394,0,0.5096153846153846,0.10808597218753466,0.11249214743589739,0.4358974358974359
1328,England,375,714,8609,0,0.029860256702361962,0.06766377276560755,0.01242892492595124,0.29373129794182423
1329,Scotland,113,34,559,0,0.029394576905095844,0.058146110525151326,-0.0526631054230949,0.08270219728845254
1330,Northern Ireland,6,0,234,0,-0.2777777777777778,-0.008794191919191932,-0.12423611111111112,0.0
1331,Wales,62,0,363,0,0.050245098039215674,0.04932244620280771,-0.027772610294117678,0.2867647058823529
1332,England,464,675,9236,0,0.05118023119662833,0.08451649086283018,0.014333354160328987,0.28078248433221203
1333,Scotland,113,25,773,0,0.016849409396684147,0.04309206781293182,-0.02258003125165528,0.0788565778554655
1334,Northern Ireland,4,0,341,0,-0.16666666666666666,0.0789772727272727,0.36081111111111114,0.5
1335,Wales,64,0,275,0,0.1825,0.06392252773268398,0.08236674999999999,0.03666666666666665
1336,England,489,604,10926,0,0.1785133181164845,0.10624305219764058,0.052734584517040044,0.19485521040588427
1337,Scotland,102,28,1121,0,-0.1297025555090071,0.04041750948793168,-0.04094663245356794,0.08123167155425218
1338,Northern Ireland,3,0,297,0,-0.05555555555555555,0.030042989417989416,-0.009122222222222217,-0.05555555555555555
1339,Wales,60,0,374,0,0.09500000000000001,-0.030334710197210176,-0.08363399999999999,0.24
1340,England,468,609,10740,0,0.0652817624895547,0.10149327290517039,-0.01589761089658899,0.12380396119032482
1341,Scotland,96,34,685,0,0.09537001897533207,0.03533127648381023,0.0066563659076533865,0.11776723592662872
1342,Northern Ireland,11,0,342,0,-0.05555555555555555,0.09657337261503927,-0.15325000000000003,0.3333333333333333
1343,Wales,54,0,290,0,0.19927536231884058,-0.034742579129807404,-0.10678985507246376,-0.2065217391304348
1344,England,330,562,10296,0,0.09155209318310922,0.09685462546164518,0.08893802900412123,0.20466727865123585
1345,Scotland,80,44,885,0,0.1645440580924452,0.0717576513326605,0.060050966345482466,0.23721547269934368
1346,Northern Ireland,3,0,313,0,0.16666666666666666,0.06961805555555556,0.04911666666666666,0.3333333333333333
1347,Wales,58,0,533,0,0.33999999999999997,0.15161472447691196,0.038395749999999965,-0.05499999999999999
1348,England,425,536,8964,0,0.06934686989140687,0.07181049000789443,-0.007333343531906608,0.1295571544883374
1349,Scotland,73,27,803,0,-0.07048984468339307,0.017043858322084122,-0.06867849462365591,-0.013620071684587816
1350,Northern Ireland,2,0,276,0,-0.5,0.061363636363636336,0.11671666666666668,0.16666666666666666
1351,Wales,63,0,363,0,-0.22596153846153846,0.004884499181374159,-0.03543509615384616,0.3125
1352,England,422,501,8408,0,0.06204879915406232,0.07113692904464003,-0.040278139122573324,0.18566331329489225
1353,Scotland,74,20,827,0,-0.13086514412983552,0.03496585983571168,-0.05999987385216423,0.24605034959928437
1354,Northern Ireland,8,0,263,0,0.35714285714285715,0.14600517290249432,0.2726928571428571,0.4047619047619047
1355,Wales,60,0,336,0,-0.3900510204081633,0.0038738565501958214,-0.06360820153061222,-0.0673469387755102
1356,England,560,485,9420,0,0.06960859118518924,0.09086081188054031,-0.005059573031858561,0.24789239063073734
1357,Scotland,103,22,715,0,-0.0406642212392563,0.04251512110125947,-0.0005946647426906779,-0.07378537778257273
1358,Northern Ireland,1,0,187,0,0.16666666666666666,0.09000000000000001,0.16071666666666667,0.16666666666666666
1359,Wales,58,0,319,0,-0.01,-0.015328847440175597,-0.3820285,0.0825
1360,England,440,501,7292,0,0.10416546723857448,0.06544520692475456,0.020851579550046958,0.21984375333165088
1361,Scotland,140,16,655,0,-0.025448959642508026,0.009983555401730567,-0.1204408956890674,0.22740276169118673
1362,Northern Ireland,14,0,225,0,0.39999999999999997,0.22505600649350646,-0.15464166666666665,0.43333333333333335
1363,Wales,59,0,317,0,-0.009999999999999995,0.11068441483285231,-0.07625808333333335,0.008333333333333325
1364,England,461,466,8644,0,0.2064490437444304,0.11253993814912006,0.0703986065937388,0.2712751542659042
1365,Scotland,98,17,798,0,-0.1622905726431608,0.029681875813212223,0.02831952113028257,0.276419104776194
1366,Northern Ireland,10,0,260,0,0.2222222222222222,0.10325757575757576,0.30926388888888884,0.7777777777777778
1367,Wales,60,0,236,0,0.255,-0.03244865034271287,-0.270854625,-0.24
1368,England,453,471,8623,0,0.1635178914223032,0.10608025077009518,0.17133756095334404,0.336572687932982
1369,Scotland,112,20,769,0,0.0707773993187738,0.048904335064720625,-0.017107351566152403,0.14898483937754625
1370,Northern Ireland,8,0,281,0,0.2222222222222222,0.09269209956709956,0.24354166666666666,-0.4444444444444444
1371,Wales,60,0,312,0,-0.05500000000000001,0.1482625248015873,0.04547225000000001,0.4
1372,England,324,406,7393,0,0.20288916847694277,0.05775218938788645,0.060587991195861494,0.16326282332551922
1373,Scotland,101,16,581,0,-0.026112643784453042,0.015435829453843117,0.03210811762882589,-0.026601558018107804
1374,Northern Ireland,4,0,241,0,0.0,0.10783730158730158,0.09123333333333333,-0.11111111111111112
1375,Wales,54,0,308,0,-0.13679245283018868,-0.02094675253684504,-0.03330683962264151,-0.12264150943396228
1376,England,373,400,6527,0,0.1319147012103101,0.07589706840387879,0.04878654304408427,0.2201775406643056
1377,Scotland,64,18,525,0,0.06968730194536646,0.02610988126386638,0.052235477748058395,0.09931358963617026
1378,Northern Ireland,8,0,184,0,-0.4444444444444444,0.0021311327561327337,-0.20356944444444444,-0.611111111111111
1379,Wales,61,0,198,0,0.5926470588235294,0.06188741759329992,0.12896553921568626,0.12401960784313726
1380,England,400,396,5080,0,0.2432067427521973,0.10879764422001893,0.0563382928800997,0.2775278761642398
1381,Scotland,88,9,572,0,-0.029846390168970813,0.028983977505007658,0.03290850230414747,0.2360061443932412
1382,Northern Ireland,5,0,136,0,-0.16666666666666666,0.14652777777777776,0.2144,0.16666666666666666
1383,Wales,66,0,247,0,-0.10690476190476189,0.09468485101466403,-0.11386302380952382,0.19952380952380955
1384,England,376,420,4738,0,-0.01681040556977588,0.07031957171534496,-0.007403697529992135,0.16690115365416916
1385,Scotland,66,20,386,0,-0.1338475923328658,0.03265553105016639,-0.005904291725105197,0.34380551659654046
1386,Northern Ireland,8,0,138,0,-0.3,0.19122790404040405,0.33161333333333337,0.5
1387,Wales,58,0,193,0,-0.2403846153846154,0.05009323055416802,-0.10813918269230768,-0.16346153846153846
1388,England,382,366,5530,0,0.18761623422690613,0.06288966662326205,0.02258610116703125,0.08429401296990227
1389,Scotland,92,13,542,0,0.015258576548899134,0.046544156118920904,0.007291763952892986,-0.01730670762928828
1390,Northern Ireland,10,0,149,0,-0.19444444444444445,0.15990740740740741,-0.07221805555555556,0.02777777777777778
1391,Wales,58,0,170,0,-0.25735294117647056,-0.04131103400956343,-0.21544460784313724,-0.2230392156862745
1392,England,383,330,5408,0,0.20362119334451345,0.09862440669981809,0.14180314793103135,0.2352939772752026
1393,Scotland,65,11,543,0,-0.0020202020202020206,0.05050720482474515,0.013600029325513205,-0.005539263603779738
1394,Northern Ireland,7,0,226,0,-0.05555555555555556,0.06550867471006357,-0.007527777777777749,0.11111111111111109
1395,Wales,62,0,208,0,-0.33490566037735847,0.029946353273299003,0.22223887578616355,-0.28852201257861637
1396,England,387,357,5643,0,0.16461502106486428,0.12188078609041407,0.00050840814829449,0.21115156116723516
1397,Scotland,49,14,500,0,0.1838000708968451,0.03194723664540875,0.042415700697152316,0.13145456693843793
1398,Northern Ireland,8,0,163,0,0.28571428571428575,0.07541335978835978,-0.15278571428571427,0.19047619047619047
1399,Wales,61,0,267,0,-0.1349056603773585,0.05475312529778919,0.03809056603773585,0.15424528301886792
1400,England,416,337,5053,0,0.07651982993667897,0.11896404455510662,0.10788911479379483,0.20322590636798757
