,country,volume,deaths,cases,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
813,Scotland,-0.8822245085187755,-0.7528539984523733,1.164799727313908,0,0.025287356321839084,0.022518866829211656,0.02391752873563219,0.049425287356321845
814,Northern Ireland,-1.0223787087267635,0.0,1.8236597901486338,0,-0.13333333333333333,0.05170524691358023,-0.04584666666666667,0.3333333333333333
815,Wales,-0.39407300386472494,-0.635846634978023,0.23012085459512605,0,0.09166666666666666,0.031329207251082236,-0.01860374999999996,0.12916666666666665
816,England,-0.8545105439475336,-0.771635060690725,0.21110627996443213,0,0.07314785080742528,0.04167858779143001,0.065264,0.10453275878807793
817,Scotland,-0.3175041213039256,-0.5447252105046605,0.7534867381149489,0,-0.13943028485757122,0.015616203442290397,0.016383920539730142,0.11094452773613195
818,Northern Ireland,-1.141806448316697,0.0,1.4014983259255922,0,-0.3333333333333333,0.033660300925925916,0.00042916666666665,0.16666666666666666
819,Wales,-0.17818244799671995,-0.8514765267301679,0.07533929269847739,0,0.03879310344827584,0.09214200191570879,0.11366875000000001,0.2672413793103448
820,England,-0.6076154774117566,-0.7085593531874836,0.03342727648725903,0,0.16404552023812943,0.08837987222388363,0.10484587300049086,0.2099918508765093
821,Scotland,-0.7493491232917521,-0.5447252105046605,0.6615053523447176,0,0.007957559681697611,0.01930678689326318,0.03942168435013262,0.07559681697612733
822,Northern Ireland,-0.5446677503670289,0.0,1.7904560794794058,0,-0.20833333333333334,-0.08787973985890651,-0.23577500000000004,0.08333333333333333
823,Wales,-0.523607337385528,-0.7795998961461196,-0.10282653394514696,0,0.3333333333333333,0.0968366928210678,0.21499895833333327,0.41666666666666663
824,England,0.06880936241228985,-0.7446026146179072,0.1334656998258545,0,0.136670384929663,0.04532362232958876,-0.027656983393722603,0.07215755268040425
825,Scotland,-0.8490056622120197,-0.6487896044785169,0.6701828415683244,0,0.048484848484848485,0.005126824691910898,0.003055214211076283,0.048484848484848485
826,Northern Ireland,1.0078928643021086,0.0,1.342205985444828,0,-0.10185185185185186,0.013908213458994699,-0.20273101851851852,-0.16666666666666666
827,Wales,0.08088621904488603,-0.7795998961461196,-0.08055580561469391,0,0.06682027649769584,0.03331046070065366,0.09139418202764975,0.16762672811059906
828,England,-0.25925668490237264,-0.7355917992603013,0.34422703000835425,0,-0.006372999769801511,0.05769740236943472,-0.03348912242532169,0.16426214451472934
829,Scotland,-0.9154433548255315,-0.49269301351773237,1.2533101173946966,0,-0.011494252873563216,0.010148415601001807,0.016573563218390805,0.028735632183908042
830,Northern Ireland,0.530181905942374,0.0,1.3090022747756,0,0.20370370370370372,0.03287312610229277,0.030525925925925932,0.20370370370370372
831,Wales,-0.048648114475916965,-0.4920933738099264,0.22789378176208075,0,0.09692028985507248,0.05703589479023978,0.06641757246376812,0.1218297101449275
832,England,-0.13073596533580384,-0.7205737736642914,0.48842798516889296,0,0.01273567305690225,0.08171167044867447,0.01500849878425467,0.05667683152894493
833,Scotland,-0.6496925843714844,-0.7528539984523733,1.4823958328979143,0,-0.09828508205790154,0.01501706383964243,-0.02984868154158215,0.1666052000737599
834,Northern Ireland,1.8438870414316442,0.0,2.148581815983222,0,0.18855218855218858,-0.0006735513364301329,0.024216498316498303,0.17676767676767677
835,Wales,0.512667330780896,-0.5639700043939747,0.43055740956920346,0,0.2464285714285714,0.05136343236789664,0.03563125000000004,0.16785714285714284
836,England,-0.23219969130941082,-0.6574980661610501,0.48898199542472376,0,-0.0849490259181795,0.03455726527298493,0.06659787798237411,0.043135113465684174
837,Scotland,-0.9154433548255315,-0.2325320285830914,1.3470270010096492,0,-0.006060606060606063,0.018940038022032524,0.018195956112852667,0.14796238244514107
838,Northern Ireland,0.2913264267625067,0.0,1.0718329128525432,0,-0.12393162393162394,0.0189825606492273,-0.07999999999999997,-0.021367521367521375
839,Wales,0.8149141089961031,-0.5639700043939747,0.1866929343507426,0,-0.3493031358885017,0.038441259780273254,0.07601112804878052,0.08188153310104526
840,England,-0.5974691048143959,-0.6484872508034442,0.17533304630221286,0,-0.07537136819051712,0.029998763795313268,0.0006258611155885204,0.02754968632628207
841,Scotland,-0.6496925843714844,-0.07643543762230685,1.0780248350778407,0,0.18244514106583073,0.05474936315812753,0.16547772727272725,0.19341692789968654
842,Northern Ireland,1.4856038226618433,0.0,2.3430606927601287,0,-0.0087719298245614,0.045374832282727005,0.05237690058479532,0.09649122807017545
843,Wales,0.296776774912891,-0.635846634978023,0.467304111314451,0,0.09680451127819545,0.0219842360102434,0.11387171052631578,0.2114661654135338
844,England,-0.9289172763281787,-0.5343502562737693,0.2642121202019302,0,0.18312913090313412,0.06258867332120166,0.0833548120990531,0.07517152705781348
845,Scotland,-0.8490056622120197,-0.5447252105046605,1.0276953975809215,0,0.12126436781609196,0.04133688900499245,0.06565362068965518,0.11896551724137931
846,Northern Ireland,-0.42524001077709517,0.0,1.7074468028063359,0,0.018518518518518528,0.045365111813524504,-0.10302037037037037,-0.018518518518518528
